NGI ID	User ID	RC	Mreads	>=Q30
P37012_1195	ND417_3	NA	4.93	92.77
P37012_1196	ND418_1	NA	5.53	92.43
P37012_1197	ND418_2	NA	3.34	92.57
P37012_1198	ND418_3	NA	3.49	92.33
P37012_1199	ND440_1	NA	6.03	89.35
P37012_1200	ND440_2	NA	7.52	90.27
P37012_1201	ND440_3	NA	7.71	90.91
P37012_1202	ND443_1	NA	6.40	93.72
P37012_1203	ND443_2	NA	3.25	92.82
P37012_1204	ND443_3	NA	1.93	92.46
P37012_1205	ND448_1	NA	24.63	93.87
P37012_1206	ND448_2	NA	18.78	93.80
P37012_1207	ND448_3	NA	25.93	93.49
P37012_1208	ND450_1	NA	11.84	93.48
P37012_1209	ND450_2	NA	9.85	93.72
P37012_1210	ND450_3	NA	9.97	93.56
P37012_1211	ND454_1	NA	4.24	93.22
P37012_1212	ND454_2	NA	9.41	92.49
P37012_1213	ND454_3	NA	9.54	93.48
P37012_1214	ND455_1	NA	20.35	93.48
P37012_1215	ND455_2	NA	19.72	93.19
P37012_1216	ND455_3	NA	20.33	93.08
P37012_1217	ND456_1	NA	19.55	93.28
P37012_1218	ND456_2	NA	30.05	93.04
P37012_1219	ND456_3	NA	42.27	93.18
P37012_1220	ND459_1	NA	26.73	92.39
P37012_1221	ND459_2	NA	27.87	92.56
P37012_1222	ND459_3	NA	25.62	92.74
P37012_1223	ND460_1	NA	56.68	89.41
P37012_1224	ND460_2	NA	21.72	90.11
P37012_1225	ND460_3	NA	48.39	89.91
P37012_1226	ND461_1	NA	4.64	88.00
P37012_1227	ND461_2	NA	3.89	90.45
P37012_1228	ND461_3	NA	6.94	90.84
P37012_1229	ND464_1	NA	4.09	92.53
P37012_1230	ND464_2	NA	4.16	93.41
P37012_1231	ND464_3	NA	5.46	92.18
P37012_1232	ND467_1	NA	6.01	93.99
P37012_1233	ND467_2	NA	5.36	93.66
P37012_1234	ND467_3	NA	6.72	93.46
P37012_1235	ND364_1	NA	190.91	92.55
P37012_1236	ND364_2	NA	228.04	92.23
P37012_1237	ND364_3	NA	168.92	93.37
P37012_1238	ND365_1	NA	245.86	94.08
P37012_1239	ND365_2	NA	264.82	92.88
P37012_1240	ND365_3	NA	256.91	93.69
P37012_1241	ND374_1	NA	141.84	92.17
P37012_1242	ND374_2	NA	137.40	93.12
P37012_1243	ND374_3	NA	176.00	92.09
P37012_1244	ND375_1	NA	130.54	92.90
P37012_1245	ND375_2	NA	128.60	91.43
P37012_1246	ND375_3	NA	82.32	90.57
P37012_1247	ND387_1	NA	300.94	92.90
P37012_1248	ND387_2	NA	329.16	92.98
P37012_1249	ND387_3	NA	409.12	92.37
P37012_2001	ND163_1	NA	12.24	87.07
P37012_2002	ND163_2	NA	68.23	88.20
P37012_2003	ND163_3	NA	59.26	89.44
P37012_2004	ND302_1	NA	75.40	82.98
P37012_2005	ND302_2	NA	75.88	83.69
P37012_2006	ND302_3	NA	97.72	83.93
P37012_2007	ND304_1	NA	84.01	82.15
P37012_2008	ND304_2	NA	103.08	83.56
P37012_2009	ND304_3	NA	87.02	84.03
P37012_2010	ND305_1	NA	72.55	83.14
P37012_2011	ND305_2	NA	94.02	83.59
P37012_2012	ND305_3	NA	89.43	84.07
P37012_2013	ND306_1	NA	106.15	83.10
P37012_2014	ND306_2	NA	75.14	82.20
P37012_2015	ND306_3	NA	113.05	85.22
P37012_2016	ND307_1	NA	110.82	83.75
P37012_2017	ND307_2	NA	132.25	83.17
P37012_2018	ND307_3	NA	50.38	82.07
P37012_2019	ND308_1	NA	42.37	83.49
P37012_2020	ND308_2	NA	78.82	85.35
P37012_2021	ND308_3	NA	78.99	84.06
P37012_2022	ND309_1	NA	78.28	84.69
P37012_2023	ND309_2	NA	71.63	84.63
P37012_2024	ND309_3	NA	110.20	84.25
P37012_2025	ND312_1	NA	42.31	85.16
P37012_2026	ND312_2	NA	38.77	84.49
P37012_2027	ND312_3	NA	43.35	85.32
P37012_2028	ND330_1	NA	53.35	86.01
P37012_2029	ND330_2	NA	48.30	84.92
P37012_2030	ND330_3	NA	54.78	87.45
P37012_2031	ND331_1	NA	73.71	83.51
P37012_2032	ND331_2	NA	45.22	84.16
P37012_2033	ND331_3	NA	66.15	86.89
P37012_2034	ND332_1	NA	18.88	86.57
P37012_2035	ND332_2	NA	93.67	86.39
P37012_2036	ND332_3	NA	76.49	87.75
P37012_2037	ND333_1	NA	59.20	85.79
P37012_2038	ND333_2	NA	47.63	85.15
P37012_2039	ND333_3	NA	32.08	85.31
P37012_2040	ND335_1	NA	61.32	86.62
P37012_2041	ND335_2	NA	55.05	86.20
P37012_2042	ND335_3	NA	55.53	86.77
P37012_2043	ND342_1	NA	85.14	85.33
P37012_2044	ND342_2	NA	2.96	85.55
P37012_2045	ND342_3	NA	69.56	88.41
P37012_2046	ND410_1	NA	40.28	90.96
P37012_2047	ND410_2	NA	40.15	90.76
P37012_2048	ND410_3	NA	37.48	91.98
